| appname | description | site | download | version |
| kdeutils | Collection of utilities for KDE | https://archlinux.org/groups/x86_64/kde-utilities/ | oci://ghcr.io/pkgforge/pkgcache/kdeutils/runimage/cachyos/stable/kdeutils:25.04-x86_64-linux | 25.04 |
| keepalived | Health Checking for Linux Virtual Server & High-Availability | https://github.com/acassen/keepalived | oci://ghcr.io/pkgforge/pkgcache/keepalived/appimage/ppkg/stable/keepalived:2.3.1-x86_64-linux | 2.3.1 |
| klp | CLI viewer for structured log files and streams (logfmt, JSONL and many others) | https://pypi.org/project/klp-logviewer | oci://ghcr.io/pkgforge/pkgcache/klp/archive/sharun/pypi/klp:0.77.0-x86_64-linux | 0.77.0 |
| krita | A free and open source painting application | https://gitlab.alpinelinux.org/alpine/aports/-/tree/master/community/krita | oci://ghcr.io/pkgforge/pkgcache/krita/runimage/alpine/stable/krita:5.2.9-x86_64-linux | 5.2.9 |
| lact | Linux GPU Control Application | https://archlinux.org/packages/extra/x86_64/lact/ | oci://ghcr.io/pkgforge/pkgcache/lact/runimage/cachyos/stable/lact:0.7.4-x86_64-linux | 0.7.4 |
| lazarus | Portable Delphi-like IDE for the FreePascal compiler | https://gitlab.com/freepascal.org/lazarus/lazarus | oci://ghcr.io/pkgforge/pkgcache/lazarus/runimage/cachyos/stable/lazarus:4.0-x86_64-linux | 4.0 |
| libresprite | Animated sprite editor & pixel art tool | https://aur.archlinux.org/packages/libresprite-git | oci://ghcr.io/pkgforge/pkgcache/libresprite/runimage/cachyos/stable/libresprite:1.2.r8.gdaad25b-x86_64-linux | 1.2.r8.gdaad25b |
| librewolf | A fork of Firefox, focused on privacy, security and freedom | https://codeberg.org/librewolf/source | oci://ghcr.io/pkgforge/pkgcache/librewolf/runimage/cachyos/stable/librewolf:139.0.1_1-x86_64-linux | 139.0.1_1 |
| linkook | OSINT tool to find Accounts/Emails across multiple platforms using a single Username | https://pypi.org/project/linkook | oci://ghcr.io/pkgforge/pkgcache/linkook/archive/sharun/pypi/linkook:1.1.2-x86_64-linux | 1.1.2 |
| malwoverview | Tool for threat hunting and gathering intel information from various sources | https://pypi.org/project/malwoverview | oci://ghcr.io/pkgforge/pkgcache/malwoverview/archive/sharun/pypi/malwoverview:6.1.1-x86_64-linux | 6.1.1 |
| mcpelauncher | Minecraft Bedrock Launcher for Linux | https://aur.archlinux.org/packages/mcpelauncher-linux-git | oci://ghcr.io/pkgforge/pkgcache/mcpelauncher/runimage/cachyos/stable/mcpelauncher:1.2.0.r0.gfe07760-x86_64-linux | 1.2.0.r0.gfe07760 |
| megasync | Syncs files between computers and MEGA Cloud drives | https://mega.nz/linux/repo/Debian_12/ | oci://ghcr.io/pkgforge/pkgcache/megasync/runimage/debian/stable/megasync:5.12.0-2.1-x86_64-linux | 5.12.0-2.1 |
| metafinder | Search documents from a domain through search engines | https://github.com/Josue87/MetaFinder | oci://ghcr.io/pkgforge/pkgcache/metafinder/archive/sharun/source/metafinder:HEAD-30c8475-231025T184726-x86_64-linux | HEAD-30c8475-231025T184726 |
| mitmproxy | SSL/TLS-capable man-in-the-middle proxy for HTTP and Websockets | https://pypi.org/project/mitmproxy | oci://ghcr.io/pkgforge/pkgcache/mitmproxy/archive/sharun/pypi/mitmproxy:12.1.1-x86_64-linux | 12.1.1 |
| mpv | General Purpose Command line video player | https://github.com/pkgforge-dev/mpv-AppImage | oci://ghcr.io/pkgforge/pkgcache/mpv/appimage/pkgforge-dev/stable/mpv:v0.40.0-99-g2b38b382c-x86_64-linux | v0.40.0-99-g2b38b382c |
| nmap/ncat | Concatenate and redirect sockets [nmap] | https://github.com/nmap/nmap | oci://ghcr.io/pkgforge/pkgcache/nmap/archive/sharun/alpine/ncat:7.97-x86_64-linux | 7.97 |
| neovim | Vim text editor fork focused on extensibility and agility | https://github.com/neovim/neovim | oci://ghcr.io/pkgforge/pkgcache/neovim/nixappimage/nixpkgs/stable/neovim:0.11.2-x86_64-linux | 0.11.2 |
| netexec | The Network Execution (CrackMapExec) Tool | https://github.com/Pennyw0rth/NetExec | oci://ghcr.io/pkgforge/pkgcache/netexec/archive/sharun/source/netexec:HEAD-c198413-250504T120631-x86_64-linux | HEAD-c198413-250504T120631 |
| nheko | Desktop client for Matrix | https://archlinux.org/packages/extra/x86_64/nheko/ | oci://ghcr.io/pkgforge/pkgcache/nheko/runimage/cachyos/stable/nheko:0.12.0-x86_64-linux | 0.12.0 |
| nmap/nmap | Network exploration tool and security/port scanner [nmap] | https://github.com/nmap/nmap | oci://ghcr.io/pkgforge/pkgcache/nmap/archive/sharun/alpine/nmap:7.97-x86_64-linux | 7.97 |
| nmap/nmap | Network exploration tool and security/port scanner | https://github.com/nmap/nmap | oci://ghcr.io/pkgforge/pkgcache/nmap/runimage/alpine/stable/nmap:7.97-x86_64-linux | 7.97 |
| nmap/nping | Network packet generation tool/ping utility [nmap] | https://github.com/nmap/nmap | oci://ghcr.io/pkgforge/pkgcache/nmap/archive/sharun/alpine/nping:7.97-x86_64-linux | 7.97 |
| nth | CLI for the identification of hashes | https://github.com/bee-san/Name-That-Hash | oci://ghcr.io/pkgforge/pkgcache/name-that-hash/archive/sharun/source/nth:HEAD-ba595d3-250303T210850-x86_64-linux | HEAD-ba595d3-250303T210850 |
| obs-studio | FOSS cross-platform screencasting and streaming app | https://github.com/pkgforge-dev/OBS-Studio-AppImage | oci://ghcr.io/pkgforge/pkgcache/obs-studio/appimage/pkgforge-dev/stable/obs-studio:31.0.3-2-x86_64-linux | 31.0.3-2 |
| oci | Command Line Interface for Oracle Cloud Infrastructure | https://pypi.org/project/oci-cli | oci://ghcr.io/pkgforge/pkgcache/oci-cli/archive/sharun/pypi/oci:3.58.0-x86_64-linux | 3.58.0 |
| openboard | Interactive whiteboard software for schools and universities | https://aur.archlinux.org/packages/openboard | oci://ghcr.io/pkgforge/pkgcache/openboard/runimage/cachyos/stable/openboard:1.7.3-x86_64-linux | 1.7.3 |
| oils/osh | Unix shell with JSON-compatible structured data | https://github.com/oils-for-unix/oils | oci://ghcr.io/pkgforge/pkgcache/oils/archive/sharun/alpine/osh:0.29.0-x86_64-linux | 0.29.0 |
